Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.200000,5,104,1,0.369697,15,5,10,60,14
1.200000,5,416,1,0.694342,117,0,117,52,130
1.200000,5,117,1,0.795812,25,80,0,0,12
1.200000,5,27,1,0.670732,5,6,3,12,1
1.200000,5,27,1,0.670732,5,6,3,12,1
1.200000,5,177,1,0.427184,30,8,60,42,37
1.200000,5,205,1,0.524362,13,0,8,115,69
1.200000,5,246,1,0.607029,104,97,0,45,0
1.200000,5,415,1,0.406295,75,18,204,85,33
1.200000,5,64,1,0.749020,0,0,27,15,22
1.200000,5,494,1,0.423571,140,161,32,46,115
1.200000,5,407,1,0.591775,0,150,66,165,26
1.200000,5,104,1,0.511737,16,9,50,4,25
1.200000,5,36,1,0.640000,4,3,7,7,15
1.200000,5,198,1,0.542725,105,31,45,17,0
1.200000,5,174,1,0.609865,0,21,70,55,28
1.200000,5,607,1,0.173025,105,198,231,18,55
1.200000,5,169,1,0.739599,0,32,67,60,10
1.200000,5,90,1,0.660377,7,13,21,31,18
1.200000,5,197,1,0.663248,0,26,38,96,37
1.200000,5,339,1,0.631922,0,38,0,98,203
1.200000,5,91,1,0.680702,28,0,28,35,0
1.200000,5,296,1,0.628607,52,41,91,25,87
1.200000,5,435,1,0.597595,222,31,83,49,50
1.200000,5,897,1,0.355140,231,420,36,0,210
1.200000,5,458,1,0.360335,252,0,31,0,175
1.200000,5,117,1,0.597938,8,22,38,49,0
1.200000,5,749,1,0.358183,144,352,33,88,132
1.200000,5,171,1,0.548813,21,7,31,0,112
1.200000,5,65,1,0.532374,35,10,7,7,6
