Utilization,Number_of_tasks,Total skipped,Total broken,Weakly hard,QoS,Qos2,QoS3,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.350000,5,150,0,0,0.882168,1.000000,0.000000,9,9,0,131,1
1.350000,5,58,0,0,0.855362,1.000000,0.000000,31,0,0,24,3
1.350000,5,29,23,0,0.889734,0.912548,0.087452,10,0,15,4,0
1.350000,5,94,53,0,0.836522,0.907826,0.092174,2,5,18,35,34
1.350000,5,103,24,0,0.818021,0.957597,0.042403,3,4,31,36,29
1.350000,5,280,0,1,0.688543,1.000000,0.000000,0,0,0,280,0
1.350000,5,220,40,0,0.816054,0.966555,0.033445,42,11,37,69,61
1.350000,5,75,0,0,0.919094,1.000000,0.000000,1,1,1,71,1
1.350000,5,176,78,0,0.838235,0.928309,0.071691,32,79,1,32,32
1.350000,5,68,1,0,0.834951,0.997573,0.002427,1,25,37,2,3
1.350000,5,76,51,0,0.910903,0.940211,0.059789,47,1,27,0,1
1.350000,5,149,28,0,0.833520,0.968715,0.031285,10,31,55,17,36
1.350000,5,155,74,0,0.857537,0.931985,0.068015,40,0,29,79,7
1.350000,5,172,116,0,0.823409,0.880903,0.119097,1,29,52,11,79
1.350000,5,35,11,0,0.853556,0.953975,0.046025,1,18,1,0,15
1.350000,5,142,47,0,0.804408,0.935262,0.064738,74,24,37,7,0
1.350000,5,84,83,0,0.844156,0.846011,0.153989,0,0,0,84,0
1.350000,5,80,47,0,0.879518,0.929217,0.070783,8,1,8,8,55
1.350000,5,59,52,0,0.863109,0.879350,0.120650,1,35,0,3,20
1.350000,5,55,23,0,0.826498,0.927445,0.072555,0,17,1,16,21
1.350000,5,112,5,0,0.862069,0.993842,0.006158,16,72,10,14,0
