Utilization,Number_of_tasks,Total skipped,Total broken,Weakly hard,QoS,Qos2,QoS3,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.250000,5,96,53,0,0.906341,0.948293,0.051707,4,4,26,5,57
1.250000,5,72,46,0,0.882545,0.924959,0.075041,5,3,47,5,12
1.250000,5,74,14,0,0.861423,0.973783,0.026217,8,14,16,15,21
1.250000,5,13,3,0,0.843373,0.963855,0.036145,2,2,1,4,4
1.250000,5,36,23,0,0.851852,0.905350,0.094650,3,0,24,4,5
1.250000,5,84,24,0,0.852113,0.957746,0.042254,33,33,9,0,9
1.250000,5,122,57,0,0.929804,0.967204,0.032796,38,19,3,2,60
1.250000,5,36,10,0,0.813472,0.948187,0.051813,10,10,11,5,0
1.250000,5,202,60,0,0.821555,0.946996,0.053004,22,113,11,44,12
1.250000,5,35,21,0,0.852321,0.911392,0.088608,1,8,6,12,8
1.250000,5,76,23,0,0.882353,0.964396,0.035604,68,3,4,0,1
1.250000,5,62,1,0,0.887477,0.998185,0.001815,3,11,4,9,35
1.250000,5,39,10,0,0.916667,0.978632,0.021368,1,2,2,18,16
1.250000,5,70,21,0,0.874327,0.962298,0.037702,5,25,0,8,32
1.250000,5,79,1,0,0.856884,0.998188,0.001812,7,3,34,22,13
1.250000,5,53,14,0,0.860158,0.963061,0.036939,3,28,5,3,14
1.250000,5,216,77,0,0.818335,0.935240,0.064760,62,45,82,27,0
1.250000,5,25,11,0,0.804688,0.914062,0.085938,12,0,3,8,2
1.250000,5,44,0,0,0.817427,1.000000,0.000000,0,0,0,0,44
1.250000,5,68,0,0,0.907984,1.000000,0.000000,0,52,10,0,6
1.250000,5,53,27,0,0.883516,0.940659,0.059341,21,0,1,4,27
