Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.400000,5,249,1,0.692213,66,0,43,0,140
1.400000,5,254,1,0.711691,24,49,26,155,0
1.400000,5,152,1,0.792066,11,48,1,73,19
1.400000,5,59,1,0.882236,50,7,2,0,0
1.400000,5,34,1,0.818182,17,0,0,8,9
1.400000,5,58,1,0.813505,0,30,20,8,0
1.400000,5,210,1,0.812332,32,13,79,36,50
1.400000,5,85,1,0.821053,1,3,59,4,18
1.400000,5,452,1,0.686329,66,69,15,106,196
1.400000,5,78,1,0.776504,16,9,16,24,13
1.400000,5,112,1,0.827692,12,0,22,71,7
1.400000,5,40,1,0.768786,13,3,4,15,5
1.400000,5,327,1,0.677196,44,93,146,36,8
1.400000,5,105,1,0.780793,41,3,8,10,43
1.400000,5,97,1,0.862801,89,0,3,5,0
1.400000,5,153,1,0.731579,13,0,76,0,64
1.400000,5,345,1,0.580292,44,178,26,0,97
1.400000,5,69,1,0.762887,7,37,0,12,13
1.400000,5,87,1,0.720257,8,7,17,49,6
