Utilization,Number_of_tasks,Total skipped,Total broken,Weakly hard,QoS,Qos2,QoS3,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.200000,5,52,21,0,0.873479,0.948905,0.051095,16,1,14,0,21
1.200000,5,56,33,0,0.898917,0.940433,0.059567,3,0,21,10,22
1.200000,5,73,20,0,0.874355,0.965577,0.034423,18,3,8,36,8
1.200000,5,153,70,0,0.877990,0.944179,0.055821,4,22,21,43,63
1.200000,5,81,1,0,0.878378,0.998498,0.001502,16,3,12,6,44
1.200000,5,55,0,0,0.902655,1.000000,0.000000,10,10,17,17,1
1.200000,5,5,1,0,0.868421,0.973684,0.026316,0,2,2,1,0
1.200000,5,5,1,0,0.868421,0.973684,0.026316,0,2,2,1,0
1.200000,5,114,8,0,0.855330,0.989848,0.010152,7,23,34,5,45
1.200000,5,22,9,0,0.872832,0.947977,0.052023,6,7,8,0,1
1.200000,5,32,0,0,0.893688,1.000000,0.000000,14,5,5,2,6
1.200000,5,81,17,0,0.887812,0.976454,0.023546,28,14,3,14,22
1.200000,5,66,5,0,0.870334,0.990177,0.009823,31,16,0,0,19
1.200000,5,74,2,0,0.874363,0.996604,0.003396,57,1,3,8,5
1.200000,5,18,3,0,0.862595,0.977099,0.022901,4,3,7,4,0
1.200000,5,125,25,0,0.849760,0.969952,0.030048,25,9,46,40,5
1.200000,5,64,3,0,0.890971,0.994889,0.005111,31,4,15,10,4
1.200000,5,39,0,1,0.912360,1.000000,0.000000,0,15,0,0,24
1.200000,5,180,4,0,0.898820,0.997752,0.002248,7,55,85,25,8
1.200000,5,21,20,0,0.910256,0.914530,0.085470,0,0,0,21,0
1.200000,5,27,9,0,0.855615,0.951872,0.048128,6,0,9,12,0
