Utilization,Number_of_tasks,Total missed,Total killed,Task_1 missed,Task_2 missed,Task_3 missed,Task_4 missed,Task_5 missed,Task_1 killed,Task_2 killed,Task_3 killed,Task_4 killed,Task_5 killed
0.900000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.910000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.920000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.930000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.940000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.950000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.960000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.970000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.980000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.990000,5,0,0,0,0,0,0,0,0,0,0,0,0
1.000000,5,0,0,0,0,0,0,0,0,0,0,0,0
1.010000,5,20,8,0,0,0,0,20,0,0,0,0,8
1.020000,5,20,8,0,0,0,0,20,0,0,0,0,8
1.030000,5,25,11,0,0,0,0,25,0,0,0,0,11
1.040000,5,25,11,0,0,0,0,25,0,0,0,0,11
1.050000,5,29,16,0,0,0,0,29,0,0,0,0,16
1.060000,5,29,16,0,0,0,0,29,0,0,0,0,16
1.070000,5,38,24,0,0,0,0,38,0,0,0,0,24
1.080000,5,38,24,0,0,0,0,38,0,0,0,0,24
1.090000,5,39,26,0,0,0,0,39,0,0,0,0,26
1.100000,5,39,27,0,0,0,0,39,0,0,0,0,27
1.110000,5,42,33,0,0,0,0,42,0,0,0,0,33
1.120000,5,42,40,0,0,0,0,42,0,0,0,0,40
1.130000,5,42,42,0,0,0,0,42,0,0,0,0,42
1.140000,5,42,42,0,0,0,0,42,0,0,0,0,42
1.150000,5,42,42,0,0,0,0,42,0,0,0,0,42
1.160000,5,42,42,0,0,0,0,42,0,0,0,0,42
1.170000,5,42,42,0,0,0,0,42,0,0,0,0,42
1.180000,5,42,42,0,0,0,0,42,0,0,0,0,42
1.190000,5,42,42,0,0,0,0,42,0,0,0,0,42
1.200000,5,42,42,0,0,0,0,42,0,0,0,0,42
1.210000,5,42,42,0,0,0,0,42,0,0,0,0,42
1.220000,5,42,42,0,0,0,0,42,0,0,0,0,42
1.230000,5,42,42,0,0,0,0,42,0,0,0,0,42
1.240000,5,46,42,0,4,0,0,42,0,0,0,0,42
1.250000,5,46,42,0,4,0,0,42,0,0,0,0,42
1.260000,5,46,42,0,4,0,0,42,0,0,0,0,42
1.270000,5,46,42,0,4,0,0,42,0,0,0,0,42
1.280000,5,54,42,0,12,0,0,42,0,0,0,0,42
1.290000,5,54,42,0,12,0,0,42,0,0,0,0,42
1.300000,5,54,42,0,12,0,0,42,0,0,0,0,42
1.310000,5,54,42,0,12,0,0,42,0,0,0,0,42
1.320000,5,54,42,0,12,0,0,42,0,0,0,0,42
1.330000,5,54,42,0,12,0,0,42,0,0,0,0,42
1.340000,5,54,42,0,12,0,0,42,0,0,0,0,42
1.350000,5,62,47,0,20,0,0,42,0,5,0,0,42
1.360000,5,62,47,0,20,0,0,42,0,5,0,0,42
1.370000,5,62,47,0,20,0,0,42,0,5,0,0,42
1.380000,5,62,47,0,20,0,0,42,0,5,0,0,42
1.390000,5,62,47,0,20,0,0,42,0,5,0,0,42
1.400000,5,62,47,0,20,0,0,42,0,5,0,0,42
1.410000,5,62,47,0,20,0,0,42,0,5,0,0,42
1.420000,5,62,47,0,20,0,0,42,0,5,0,0,42
1.430000,5,62,47,0,20,0,0,42,0,5,0,0,42
1.440000,5,66,45,0,24,0,0,42,0,3,0,0,42
1.450000,5,66,45,0,24,0,0,42,0,3,0,0,42
1.460000,5,84,54,0,42,0,0,42,0,12,0,0,42
1.470000,5,84,54,0,42,0,0,42,0,12,0,0,42
1.480000,5,84,54,0,42,0,0,42,0,12,0,0,42
1.490000,5,84,54,0,42,0,0,42,0,12,0,0,42
1.500000,5,84,54,0,42,0,0,42,0,12,0,0,42
