Utilization,Number_of_tasks,Total missed,Total killed,Task_1 missed,Task_2 missed,Task_3 missed,Task_4 missed,Task_5 missed,Task_1 killed,Task_2 killed,Task_3 killed,Task_4 killed,Task_5 killed
0.800000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.850000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.900000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.950000,5,0,0,0,0,0,0,0,0,0,0,0,0
1.000000,5,1,1,0,0,0,0,1,0,0,0,0,1
1.050000,5,18,16,0,0,0,0,18,0,0,0,0,16
1.100000,5,30,26,0,0,0,0,30,0,0,0,0,26
1.150000,5,42,42,0,0,0,0,42,0,0,0,0,42
1.200000,5,42,42,0,0,0,0,42,0,0,0,0,42
1.250000,5,44,42,0,2,0,0,42,0,0,0,0,42
1.300000,5,48,42,0,6,0,0,42,0,0,0,0,42
1.350000,5,53,47,0,11,0,0,42,0,5,0,0,42
1.400000,5,53,47,0,11,0,0,42,0,5,0,0,42
1.450000,5,57,45,0,15,0,0,42,0,3,0,0,42
1.500000,5,63,54,0,21,0,0,42,0,12,0,0,42
