Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
0.900000,5,3,1,0.996381,0,2,1,0,0
0.900000,5,7,1,0.992553,0,0,4,3,0
0.900000,5,1,1,0.997680,0,0,1,0,0
0.900000,5,0,1,1.000000,0,0,0,0,0
0.900000,5,2,1,0.995868,0,0,2,0,0
0.900000,5,9,1,0.988903,9,0,0,0,0
0.900000,5,4,1,0.982609,2,2,0,0,0
0.900000,5,1,1,0.997375,0,1,0,0,0
0.900000,5,1,1,0.993289,0,1,0,0,0
0.900000,5,4,1,0.996396,0,0,4,0,0
0.900000,5,0,1,1.000000,0,0,0,0,0
0.900000,5,0,1,1.000000,0,0,0,0,0
