Utilization,Number_of_tasks,Total missed,Total killed,Weakly hard,Task_1 missed,Task_2 missed,Task_3 missed,Task_4 missed,Task_5 missed,Task_1 killed,Task_2 killed,Task_3 killed,Task_4 killed,Task_5 killed
0.900000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.910000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.920000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.930000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.940000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.950000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.960000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.980000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.990000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
1.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
1.010000,5,57,7,0,0,18,15,15,9,0,1,0,0,6
1.020000,5,57,7,0,0,18,15,15,9,0,1,0,0,6
1.030000,5,57,9,0,0,18,15,15,9,0,3,0,0,6
1.040000,5,57,9,0,0,18,15,15,9,0,3,0,0,6
1.050000,5,59,10,1,0,16,15,16,12,0,2,0,0,8
1.060000,5,59,10,1,0,16,15,16,12,0,2,0,0,8
1.070000,5,81,18,1,0,24,21,24,12,0,6,0,0,12
1.080000,5,81,18,1,0,24,21,24,12,0,6,0,0,12
1.090000,5,83,11,0,0,22,22,22,17,0,1,0,0,10
1.100000,5,83,11,0,0,22,22,22,17,0,1,0,0,10
1.110000,5,88,14,0,0,24,24,24,16,0,1,1,0,12
1.120000,5,100,22,0,0,30,28,27,15,0,7,1,0,14
1.130000,5,101,20,0,0,31,28,27,15,0,6,0,0,14
1.140000,5,101,20,0,0,31,28,27,15,0,6,0,0,14
1.150000,5,101,14,0,0,31,28,27,15,0,0,0,0,14
1.160000,5,101,14,0,0,31,28,27,15,0,0,0,0,14
1.170000,5,106,14,1,0,34,30,28,14,0,0,0,0,14
1.180000,5,106,14,1,0,34,30,28,14,0,0,0,0,14
1.190000,5,107,20,1,0,34,31,28,14,0,6,0,0,14
1.200000,5,107,20,1,0,34,31,28,14,0,6,0,0,14
