Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.300000,5,281,1,0.625832,70,0,39,55,117
1.300000,5,94,1,0.903093,4,82,6,2,0
1.300000,5,162,1,0.768240,7,14,119,22,0
1.300000,5,124,1,0.811263,32,3,24,64,1
1.300000,5,140,1,0.799139,15,29,46,39,11
1.300000,5,84,1,0.792593,0,29,0,0,55
1.300000,5,71,1,0.838636,33,5,11,3,19
1.300000,5,127,1,0.612805,6,8,83,12,18
1.300000,5,63,1,0.756757,8,45,3,2,5
1.300000,5,171,1,0.758815,61,25,67,18,0
1.300000,5,123,1,0.868308,86,8,0,22,7
1.300000,5,70,1,0.768977,0,49,14,0,7
1.300000,5,232,1,0.774757,2,52,108,60,10
1.300000,5,164,1,0.706619,12,24,0,113,15
1.300000,5,74,1,0.792717,17,35,13,5,4
1.300000,5,127,1,0.826975,7,23,10,60,27
1.300000,5,89,1,0.908342,4,4,4,4,73
1.300000,5,175,1,0.791418,0,4,21,130,20
1.300000,5,36,1,0.827751,11,8,5,3,9
1.300000,5,226,1,0.687414,42,122,0,42,20
1.300000,5,154,1,0.771174,35,26,2,83,8
1.300000,5,306,1,0.689340,91,118,23,74,0
1.300000,5,460,1,0.595427,31,186,0,212,31
1.300000,5,355,1,0.690767,196,30,31,34,64
1.300000,5,196,1,0.761847,65,0,32,76,23
1.300000,5,172,1,0.780892,67,53,16,20,16
