Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.300000,5,426,1,0.428188,66,26,143,48,143
1.300000,5,272,1,0.640687,27,130,39,58,18
1.300000,5,278,1,0.538972,105,70,19,46,38
1.300000,5,36,1,0.714286,0,10,15,0,11
1.300000,5,698,1,0.508104,28,0,146,84,440
1.300000,5,294,1,0.365011,42,31,90,108,23
1.300000,5,263,1,0.685783,104,0,0,81,78
1.300000,5,486,1,0.434226,45,70,21,35,315
1.300000,5,54,1,0.504587,15,3,18,0,18
1.300000,5,225,1,0.495516,14,54,105,0,52
1.300000,5,234,1,0.584369,30,82,55,18,49
1.300000,5,424,1,0.576424,42,117,54,29,182
1.300000,5,151,1,0.738302,16,0,15,24,96
1.300000,5,134,1,0.583851,13,11,13,17,80
1.300000,5,632,1,0.530112,165,93,52,154,168
1.300000,5,310,1,0.297052,28,76,12,42,152
1.300000,5,444,1,0.632146,26,114,95,95,114
