Utilization,Number_of_tasks,Total skipped,Total broken,Weakly hard,QoS,Qos2,QoS3,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.300000,5,114,71,0,0.856604,0.910692,0.089308,7,14,0,14,79
1.300000,5,55,32,0,0.837278,0.905325,0.094675,28,9,13,4,1
1.300000,5,97,32,0,0.849145,0.950233,0.049767,41,23,0,2,31
1.300000,5,254,214,0,0.823978,0.851698,0.148302,6,0,132,12,104
1.300000,5,117,4,0,0.880123,0.995902,0.004098,68,30,7,11,1
1.300000,5,146,40,0,0.879835,0.967078,0.032922,7,84,0,14,41
1.300000,5,96,29,0,0.891280,0.967157,0.032843,36,9,6,15,30
1.300000,5,147,26,0,0.864140,0.975970,0.024030,3,64,56,7,17
1.300000,5,75,2,0,0.825986,0.995360,0.004640,20,12,6,1,36
1.300000,5,123,33,0,0.872274,0.965732,0.034268,11,62,7,40,3
1.300000,5,154,54,0,0.837724,0.943098,0.056902,10,2,30,83,29
1.300000,5,126,30,0,0.874377,0.970090,0.029910,9,66,33,18,0
1.300000,5,101,6,0,0.902227,0.994192,0.005808,2,19,25,2,53
1.300000,5,151,25,0,0.852106,0.975514,0.024486,36,0,22,0,93
1.300000,5,274,113,0,0.795979,0.915860,0.084140,15,32,116,83,28
1.300000,5,132,69,0,0.799087,0.894977,0.105023,22,22,21,65,2
1.300000,5,44,2,0,0.822581,0.991935,0.008065,3,0,41,0,0
1.300000,5,181,134,0,0.825794,0.871030,0.128970,83,3,10,85,0
1.300000,5,96,47,0,0.930485,0.965967,0.034033,0,48,0,48,0
1.300000,5,216,70,0,0.819850,0.941618,0.058382,22,1,21,90,82
1.300000,5,59,12,0,0.831909,0.965812,0.034188,0,9,26,6,18
