Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped
1.250000,3,61,1,0.756972,0,32,29
1.250000,3,35,1,0.724409,23,4,8
1.250000,3,10,1,0.767442,2,8,0
1.250000,3,10,1,0.767442,2,8,0
1.250000,3,17,1,0.830000,0,17,0
1.250000,3,33,1,0.727273,7,11,15
1.250000,3,76,1,0.711027,40,6,30
