Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.150000,5,172,1,0.763085,0,0,23,61,88
1.150000,5,342,1,0.562660,192,25,37,48,40
1.150000,5,444,1,0.659770,97,55,143,39,110
1.150000,5,122,1,0.597360,40,15,36,11,20
1.150000,5,63,1,0.622754,3,21,0,27,12
1.150000,5,447,1,0.663150,41,56,0,140,210
1.150000,5,251,1,0.546931,162,47,16,15,11
1.150000,5,1311,1,0.188738,192,28,231,420,440
1.150000,5,330,1,0.693023,48,0,82,57,143
1.150000,5,120,1,0.648094,28,45,9,18,20
1.150000,5,856,1,0.421622,80,0,115,420,241
1.150000,5,114,1,0.610922,90,15,0,9,0
1.150000,5,318,1,0.510015,120,21,87,50,40
1.150000,5,354,1,0.455385,111,132,0,74,37
1.150000,5,476,1,0.520161,0,58,54,312,52
1.150000,5,645,1,0.521868,91,42,336,104,72
