Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
0.900000,5,1,1,0.997959,0,1,0,0,0
0.900000,5,2,1,0.998101,0,0,2,0,0
0.900000,5,3,1,0.997309,0,0,0,2,1
0.900000,5,0,1,1.000000,0,0,0,0,0
0.900000,5,0,1,1.000000,0,0,0,0,0
0.900000,5,0,1,1.000000,0,0,0,0,0
0.900000,5,0,1,1.000000,0,0,0,0,0
0.900000,5,3,1,0.996350,2,0,1,0,0
0.900000,5,1,1,0.990826,0,0,0,1,0
0.900000,5,2,1,0.991150,0,0,0,0,2
0.900000,5,0,1,1.000000,0,0,0,0,0
0.900000,5,3,1,0.995739,0,0,3,0,0
0.900000,5,0,1,1.000000,0,0,0,0,0
0.900000,5,0,1,1.000000,0,0,0,0,0
0.900000,5,4,1,0.996300,1,0,2,1,0
0.900000,5,1,1,0.998982,0,0,0,1,0
0.900000,5,1,1,0.998853,0,0,0,0,1
0.900000,5,1,1,0.998804,0,0,0,0,1
0.900000,5,0,1,1.000000,0,0,0,0,0
0.900000,5,2,1,0.997910,2,0,0,0,0
0.900000,5,0,1,1.000000,0,0,0,0,0
