Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.350000,5,274,1,0.750682,90,69,52,54,9
1.350000,5,104,1,0.736709,11,7,12,0,74
1.350000,5,60,1,0.912664,0,0,0,0,60
1.350000,5,150,1,0.702970,31,10,55,7,47
1.350000,5,98,1,0.797938,28,0,50,10,10
1.350000,5,141,1,0.705637,111,0,7,9,14
1.350000,5,229,1,0.648773,90,77,24,15,23
1.350000,5,149,1,0.707843,14,58,27,14,36
1.350000,5,408,1,0.621872,57,40,256,28,27
1.350000,5,342,1,0.669246,57,171,0,0,114
1.350000,5,365,1,0.683435,24,27,103,29,182
1.350000,5,86,1,0.848325,9,16,10,1,50
1.350000,5,105,1,0.861660,99,0,6,0,0
1.350000,5,56,1,0.664671,16,6,4,13,17
1.350000,5,47,1,0.825926,0,2,8,0,37
1.350000,5,53,1,0.896887,5,0,45,0,3
1.350000,5,88,1,0.769634,25,17,0,11,35
1.350000,5,200,1,0.647266,41,25,16,101,17
