Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.500000,5,35,1,0.705882,8,2,24,0,1
1.500000,5,401,1,0.523753,0,194,192,15,0
1.500000,5,436,1,0.543933,0,105,27,92,212
1.500000,5,43,1,0.848592,0,42,0,0,1
1.500000,5,166,1,0.750000,0,10,0,126,30
1.500000,5,149,1,0.785612,0,30,0,14,105
1.500000,5,36,1,0.666667,0,0,16,17,3
1.500000,5,196,1,0.613412,16,59,16,48,57
1.500000,5,61,1,0.685567,6,3,40,0,12
1.500000,5,109,1,0.717617,12,12,0,9,76
