Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.050000,5,7,1,0.666667,2,1,2,1,1
1.050000,5,7,1,0.666667,2,1,2,1,1
1.050000,5,7,1,0.666667,2,1,2,1,1
1.050000,5,379,1,0.664898,87,112,20,100,60
1.050000,5,265,1,0.396355,28,63,12,18,144
1.050000,5,521,1,0.455590,28,18,75,100,300
1.050000,5,469,1,0.521916,0,308,77,84,0
1.050000,5,216,1,0.763417,22,168,0,0,26
1.050000,5,236,1,0.521298,44,176,0,0,16
1.050000,5,142,1,0.567073,63,20,23,24,12
1.050000,5,394,1,0.587866,63,34,119,178,0
1.050000,5,259,1,0.631579,26,33,71,88,41
1.050000,5,322,1,0.702128,0,212,21,53,36
1.050000,5,200,1,0.496222,81,67,25,27,0
1.050000,5,204,1,0.717060,0,0,48,52,104
1.050000,5,834,1,0.349961,42,84,0,252,456
1.050000,5,30,1,0.822485,13,5,5,0,7
1.050000,5,88,1,0.664122,0,0,36,22,30
1.050000,5,93,1,0.731988,11,18,0,28,36
1.050000,5,243,1,0.594324,16,70,0,31,126
1.050000,5,210,1,0.687034,39,24,21,97,29
