Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.350000,5,285,1,0.747564,0,0,95,95,95
1.350000,5,261,1,0.252149,12,65,156,8,20
1.350000,5,738,1,0.360485,35,90,441,140,32
1.350000,5,863,1,0.272957,350,63,450,0,0
1.350000,5,379,1,0.512853,38,0,18,38,285
1.350000,5,254,1,0.585644,65,70,65,35,19
1.350000,5,653,1,0.598648,44,123,66,330,90
1.350000,5,304,1,0.607742,24,210,0,0,70
1.350000,5,271,1,0.682298,63,43,90,0,75
1.350000,5,131,1,0.628895,12,90,15,0,14
1.350000,5,198,1,0.442254,9,140,22,10,17
1.350000,5,698,1,0.446910,81,70,392,122,33
1.350000,5,731,1,0.172140,54,264,297,72,44
1.350000,5,509,1,0.646036,150,52,43,75,189
