Utilization,Number_of_tasks,Total skipped,Total broken,Weakly hard,QoS,Qos2,QoS3,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.050000,5,55,0,1,0.942105,1.000000,0.000000,5,26,1,0,23
1.050000,5,22,0,0,0.958333,1.000000,0.000000,2,7,5,5,3
1.050000,5,33,0,1,0.957638,1.000000,0.000000,5,0,5,10,13
1.050000,5,41,2,0,0.949132,0.997519,0.002481,16,9,9,0,7
1.050000,5,8,0,1,0.942446,1.000000,0.000000,0,0,0,3,5
1.050000,5,37,0,1,0.946064,1.000000,0.000000,0,36,1,0,0
1.050000,5,32,0,0,0.977385,1.000000,0.000000,7,0,0,12,13
1.050000,5,10,1,0,0.937888,0.993789,0.006211,0,3,3,2,2
1.050000,5,34,0,1,0.939716,1.000000,0.000000,0,2,0,9,23
1.050000,5,6,0,1,0.964072,1.000000,0.000000,0,0,0,6,0
1.050000,5,39,7,0,0.902743,0.982544,0.017456,12,1,7,16,3
1.050000,5,26,0,1,0.971585,1.000000,0.000000,4,0,2,10,10
1.050000,5,51,0,1,0.930233,1.000000,0.000000,2,0,1,40,8
1.050000,5,26,0,1,0.936118,1.000000,0.000000,1,1,9,5,10
1.050000,5,27,0,1,0.925208,1.000000,0.000000,0,0,17,10,0
1.050000,5,28,1,0,0.973206,0.999043,0.000957,3,5,1,6,13
1.050000,5,14,0,1,0.960674,1.000000,0.000000,0,2,1,11,0
1.050000,5,44,3,0,0.950170,0.996602,0.003398,6,15,6,9,8
1.050000,5,54,0,1,0.939258,1.000000,0.000000,20,0,21,10,3
1.050000,5,19,0,1,0.978111,1.000000,0.000000,11,0,0,2,6
1.050000,5,35,2,0,0.961283,0.997788,0.002212,18,1,6,1,9
