Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.450000,5,178,1,0.600000,0,0,119,0,59
1.450000,5,297,1,0.618742,33,0,120,144,0
1.450000,5,567,1,0.398727,40,28,67,360,72
1.450000,5,640,1,0.421338,405,66,33,55,81
1.450000,5,715,1,0.513936,84,120,0,336,175
1.450000,5,585,1,0.534606,146,84,22,231,102
1.450000,5,99,1,0.560000,19,19,7,24,30
1.450000,5,477,1,0.195616,15,96,16,224,126
1.450000,5,341,1,0.585662,21,88,44,76,112
1.450000,5,555,1,0.323995,0,126,15,253,161
1.450000,5,234,1,0.684636,19,99,64,52,0
