Utilization,Number_of_tasks,Total skipped,Total broken,Weakly hard,QoS,Qos2,QoS3,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.150000,5,75,2,0,0.925075,0.998002,0.001998,10,11,10,12,32
1.150000,5,80,28,0,0.926874,0.974406,0.025594,0,1,21,18,40
1.150000,5,118,10,0,0.925646,0.993699,0.006301,18,58,2,4,36
1.150000,5,43,24,0,0.925347,0.958333,0.041667,8,8,2,25,0
1.150000,5,93,16,0,0.914913,0.985361,0.014639,6,49,12,15,11
1.150000,5,30,0,1,0.938776,1.000000,0.000000,2,25,1,1,1
1.150000,5,111,36,0,0.885685,0.962925,0.037075,15,31,18,44,3
1.150000,5,113,12,0,0.874584,0.986681,0.013319,46,34,5,28,0
1.150000,5,96,27,0,0.893570,0.970067,0.029933,71,10,12,3,0
1.150000,5,21,0,1,0.852113,1.000000,0.000000,7,2,1,0,11
1.150000,5,38,12,0,0.757962,0.923567,0.076433,13,0,0,12,13
1.150000,5,64,2,0,0.924081,0.997628,0.002372,3,30,5,10,16
1.150000,5,41,32,0,0.859589,0.890411,0.109589,1,2,36,1,1
1.150000,5,85,1,0,0.912999,0.998976,0.001024,13,14,28,3,27
1.150000,5,23,1,0,0.913858,0.996255,0.003745,0,3,0,8,12
1.150000,5,103,15,0,0.911283,0.987080,0.012920,22,16,25,29,11
1.150000,5,13,0,0,0.903704,1.000000,0.000000,2,2,5,2,2
1.150000,5,93,20,0,0.876330,0.973404,0.026596,2,24,39,12,16
1.150000,5,37,0,0,0.932358,1.000000,0.000000,14,1,0,12,10
1.150000,5,32,0,0,0.932203,1.000000,0.000000,2,5,15,8,2
1.150000,5,95,1,0,0.893973,0.998884,0.001116,37,2,2,21,33
