Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
0.900000,5,30,1,0.844560,15,7,0,0,8
0.900000,5,97,1,0.832470,0,36,35,26,0
0.900000,5,173,1,0.687726,85,8,46,0,34
0.900000,5,423,1,0.318841,224,49,24,98,28
0.900000,5,62,1,0.597403,0,15,0,42,5
0.900000,5,84,1,0.786260,0,13,25,13,33
0.900000,5,980,1,0.318972,182,351,234,182,31
0.900000,5,740,1,0.556089,192,26,330,0,192
0.900000,5,55,1,0.583333,12,7,25,5,6
0.900000,5,71,1,0.612022,5,11,9,46,0
0.900000,5,60,1,0.857482,9,0,12,39,0
0.900000,5,442,1,0.310452,252,0,35,11,144
0.900000,5,122,1,0.583618,81,20,8,0,13
0.900000,5,70,1,0.708333,8,23,8,6,25
0.900000,5,476,1,0.563703,94,26,140,180,36
0.900000,5,359,1,0.500695,22,53,72,100,112
0.900000,5,119,1,0.785586,46,38,12,0,23
0.900000,5,370,1,0.564193,33,110,82,55,90
0.900000,5,61,1,0.618750,10,36,6,9,0
0.900000,5,76,1,0.593583,24,31,0,9,12
0.900000,5,59,1,0.800000,0,9,16,18,16
