Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.250000,5,105,1,0.755814,31,65,9,0,0
1.250000,5,254,1,0.679697,40,114,0,60,40
1.250000,5,142,1,0.449612,25,25,24,8,60
1.250000,5,288,1,0.536232,0,0,30,231,27
1.250000,5,58,1,0.679558,0,22,7,15,14
1.250000,5,334,1,0.505185,104,84,91,29,26
1.250000,5,401,1,0.589560,61,47,57,189,47
1.250000,5,254,1,0.736241,150,31,50,23,0
1.250000,5,548,1,0.586727,165,26,231,38,88
1.250000,5,302,1,0.596796,0,180,52,42,28
1.250000,5,367,1,0.483826,19,245,56,12,35
1.250000,5,387,1,0.563698,45,102,180,22,38
1.250000,5,97,1,0.658451,24,35,15,9,14
1.250000,5,465,1,0.602904,112,19,275,59,0
1.250000,5,647,1,0.556546,84,41,52,140,330
1.250000,5,144,1,0.452471,10,17,25,85,7
1.250000,5,160,1,0.572193,9,23,94,11,23
1.250000,5,304,1,0.588633,90,86,45,32,51
1.250000,5,369,1,0.597162,132,115,0,70,52
1.250000,5,151,1,0.679406,32,28,28,0,63
1.250000,5,321,1,0.332640,42,30,175,14,60
1.250000,5,358,1,0.628245,60,196,18,84,0
1.250000,5,111,1,0.621160,18,18,45,0,30
1.250000,5,599,1,0.440710,124,217,62,56,140
1.250000,5,395,1,0.344942,40,27,20,176,132
1.250000,5,448,1,0.370787,15,231,48,77,77
1.250000,5,170,1,0.720854,34,0,85,51,0
1.250000,5,223,1,0.712999,39,65,28,91,0
1.250000,5,97,1,0.755668,56,8,19,0,14
