Utilization,Number_of_tasks,Total skipped,Total broken,Weakly hard,QoS,Qos2,QoS3,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.450000,5,42,27,0,0.811659,0.878924,0.121076,8,1,28,0,5
1.450000,5,86,56,0,0.741742,0.831832,0.168168,22,9,2,37,16
1.450000,5,62,36,0,0.816024,0.893175,0.106825,9,35,2,8,8
1.450000,5,129,128,0,0.832902,0.834197,0.165803,0,0,0,0,129
1.450000,5,67,49,0,0.882042,0.913732,0.086268,37,7,1,0,22
1.450000,5,68,42,0,0.809524,0.882353,0.117647,3,2,33,28,2
1.450000,5,98,59,0,0.855670,0.913108,0.086892,1,15,4,24,54
1.450000,5,26,16,0,0.745098,0.843137,0.156863,5,0,2,4,15
1.450000,5,20,0,0,0.898477,1.000000,0.000000,1,1,4,10,4
1.450000,5,110,17,0,0.748284,0.961098,0.038902,11,20,42,23,14
1.450000,5,20,11,0,0.856115,0.920863,0.079137,0,4,12,2,2
1.450000,5,81,38,0,0.751534,0.883436,0.116564,10,0,19,6,46
1.450000,5,35,12,0,0.713115,0.901639,0.098361,7,10,4,5,9
1.450000,5,131,53,0,0.764811,0.904847,0.095153,52,16,11,27,25
1.450000,5,141,32,0,0.844884,0.964796,0.035204,108,0,0,33,0
1.450000,5,188,27,0,0.698718,0.956731,0.043269,0,57,65,0,66
1.450000,5,127,75,0,0.712670,0.830317,0.169683,31,18,12,10,56
1.450000,5,55,23,0,0.832317,0.929878,0.070122,0,28,7,3,17
1.450000,5,176,1,0,0.827282,0.999019,0.000981,7,0,79,38,52
1.450000,5,250,26,0,0.792013,0.978369,0.021631,134,51,55,0,10
1.450000,5,361,46,0,0.751549,0.968341,0.031659,1,86,122,100,52
