Utilization,Number_of_tasks,Total skipped,Total broken,Weakly hard,QoS,Qos2,QoS3,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.400000,5,118,48,0,0.794066,0.916230,0.083770,19,6,3,58,32
1.400000,5,33,13,0,0.857759,0.943966,0.056034,7,1,1,9,15
1.400000,5,180,104,0,0.797069,0.882751,0.117249,1,67,5,62,45
1.400000,5,96,61,0,0.891770,0.931229,0.068771,3,4,20,8,61
1.400000,5,262,197,0,0.735354,0.801010,0.198990,0,116,140,1,5
1.400000,5,194,124,0,0.854790,0.907186,0.092814,57,4,19,39,75
1.400000,5,412,274,0,0.753146,0.835830,0.164170,74,56,176,99,7
1.400000,5,205,22,0,0.764097,0.974684,0.025316,7,86,38,70,4
1.400000,5,77,9,0,0.747541,0.970492,0.029508,0,47,4,1,25
1.400000,5,53,31,0,0.771552,0.866379,0.133621,16,0,21,0,16
1.400000,5,271,140,0,0.758252,0.875112,0.124888,37,84,75,43,32
1.400000,5,136,97,0,0.806543,0.862020,0.137980,66,26,1,0,43
1.400000,5,114,18,0,0.819334,0.971474,0.028526,14,0,25,24,51
1.400000,5,29,17,0,0.898601,0.940559,0.059441,5,1,4,18,1
1.400000,5,95,58,0,0.845024,0.905383,0.094617,44,32,8,3,8
1.400000,5,82,28,0,0.805226,0.933492,0.066508,29,2,44,6,1
1.400000,5,80,20,0,0.862306,0.965577,0.034423,0,40,0,0,40
1.400000,5,200,82,0,0.791449,0.914494,0.085506,40,99,36,0,25
1.400000,5,169,56,0,0.842351,0.947761,0.052239,24,16,63,53,13
1.400000,5,152,61,0,0.816647,0.926417,0.073583,11,54,34,0,53
1.400000,5,21,7,0,0.868750,0.956250,0.043750,1,11,8,0,1
