Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.100000,5,45,1,0.923858,0,0,4,35,6
1.100000,5,43,1,0.849123,4,13,0,20,6
1.100000,5,85,1,0.886818,8,34,12,25,6
1.100000,5,117,1,0.810985,23,0,64,30,0
1.100000,5,51,1,0.937192,0,0,7,1,43
1.100000,5,134,1,0.836386,6,106,22,0,0
1.100000,5,68,1,0.879646,8,9,15,9,27
1.100000,5,55,1,0.909390,0,0,55,0,0
1.100000,5,59,1,0.930588,0,15,9,17,18
1.100000,5,150,1,0.713740,0,44,0,106,0
1.100000,5,7,1,0.893939,2,2,0,0,3
1.100000,5,7,1,0.893939,2,2,0,0,3
1.100000,5,114,1,0.812808,3,11,51,31,18
1.100000,5,108,1,0.916859,8,37,39,0,24
1.100000,5,167,1,0.864228,77,0,0,17,73
1.100000,5,83,1,0.831643,6,14,17,0,46
1.100000,5,88,1,0.871533,52,18,10,8,0
