Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.250000,5,195,195,1,0.796663,0,15,73,0,107
1.250000,5,47,47,1,0.766169,3,19,7,14,4
1.250000,5,212,212,0,0.747919,5,59,45,61,42
1.250000,5,138,138,0,0.762478,8,36,39,25,30
1.250000,5,163,163,1,0.804322,60,25,0,60,18
1.250000,5,132,132,1,0.813296,0,47,12,65,8
1.250000,5,211,211,0,0.792118,97,21,70,3,20
1.250000,5,21,21,1,0.829268,7,10,0,1,3
1.250000,5,151,151,1,0.701581,0,14,52,22,63
1.250000,5,146,146,0,0.778452,16,26,35,23,46
1.250000,5,84,84,0,0.823529,3,1,17,25,38
1.250000,5,50,50,0,0.763033,11,10,17,3,9
1.250000,5,90,90,0,0.784173,35,35,0,17,3
1.250000,5,238,238,1,0.789753,181,0,0,0,57
1.250000,5,53,53,1,0.787149,0,13,26,5,9
1.250000,5,98,98,0,0.612648,59,8,15,9,7
