Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.050000,5,49,1,0.957686,5,15,0,7,22
1.050000,5,30,1,0.911504,0,1,14,15,0
1.050000,5,73,1,0.921251,9,18,22,16,8
1.050000,5,27,1,0.942431,15,3,0,9,0
1.050000,5,27,1,0.821192,0,2,2,14,9
1.050000,5,77,1,0.915939,23,14,15,7,18
1.050000,5,74,1,0.856311,0,35,0,29,10
1.050000,5,58,1,0.943525,7,44,2,5,0
1.050000,5,48,1,0.849530,11,2,20,15,0
1.050000,5,13,1,0.910345,0,6,2,3,2
1.050000,5,90,1,0.838420,0,28,0,49,13
1.050000,5,41,1,0.873846,11,7,15,1,7
1.050000,5,17,1,0.972403,17,0,0,0,0
1.050000,5,32,1,0.940850,9,13,7,3,0
1.050000,5,78,1,0.913907,11,16,9,0,42
1.050000,5,46,1,0.945433,4,24,0,18,0
1.050000,5,35,1,0.944620,8,0,18,0,9
1.050000,5,91,1,0.827977,0,0,0,91,0
1.050000,5,57,1,0.951240,16,11,9,13,8
