Utilization,Number_of_tasks,Total missed,Total killed,Weakly hard,Task_1 missed,Task_2 missed,Task_3 missed,Task_4 missed,Task_5 missed,Task_1 killed,Task_2 killed,Task_3 killed,Task_4 killed,Task_5 killed
0.800000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.850000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.900000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.950000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
1.000000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1.050000,5,18,8,0,0,0,0,0,18,0,0,0,0,8
1.100000,5,32,22,0,0,0,0,0,32,0,0,0,0,22
1.150000,5,42,42,0,0,0,0,0,42,0,0,0,0,42
1.200000,5,42,42,0,0,0,0,0,42,0,0,0,0,42
1.250000,5,44,42,0,0,2,0,0,42,0,0,0,0,42
1.300000,5,48,42,0,0,6,0,0,42,0,0,0,0,42
1.350000,5,58,42,0,0,16,0,0,42,0,0,0,0,42
1.400000,5,58,42,0,0,16,0,0,42,0,0,0,0,42
1.450000,5,59,43,0,0,17,0,0,42,0,1,0,0,42
1.500000,5,73,45,0,0,31,0,0,42,0,3,0,0,42
