Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.500000,5,326,1,0.570487,100,43,112,28,43
1.500000,5,618,1,0.598179,141,0,0,212,265
1.500000,5,207,1,0.698690,0,98,40,17,52
1.500000,5,390,1,0.479306,60,26,200,0,104
1.500000,5,116,1,0.585714,11,10,50,0,45
1.500000,5,287,1,0.463551,35,0,189,21,42
1.500000,5,336,1,0.513748,0,0,240,96,0
1.500000,5,666,1,0.305527,182,117,52,189,126
1.500000,5,416,1,0.517961,45,55,135,82,99
1.500000,5,692,1,0.345317,152,240,95,91,114
1.500000,5,326,1,0.270694,99,132,22,40,33
1.500000,5,183,1,0.725637,0,18,66,75,24
1.500000,5,438,1,0.533546,64,0,112,52,210
