Utilization,Number_of_tasks,Total skipped,Total broken,Weakly hard,QoS,Qos2,QoS3,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.000000,5,6,0,1,0.968085,1.000000,0.000000,0,0,3,3,0
1.000000,5,8,0,1,0.973684,1.000000,0.000000,0,0,0,1,7
1.000000,5,16,0,0,0.983920,1.000000,0.000000,0,8,0,8,0
1.000000,5,9,0,1,0.989595,1.000000,0.000000,2,4,0,3,0
1.000000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
1.000000,5,16,0,1,0.985033,1.000000,0.000000,8,5,0,3,0
1.000000,5,6,0,0,0.993909,1.000000,0.000000,6,0,0,0,0
1.000000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
1.000000,5,17,0,1,0.972268,1.000000,0.000000,1,3,1,0,12
1.000000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
1.000000,5,5,0,1,0.991394,1.000000,0.000000,2,0,3,0,0
1.000000,5,14,0,0,0.960340,1.000000,0.000000,3,6,0,5,0
1.000000,5,7,0,1,0.991597,1.000000,0.000000,1,0,0,5,1
1.000000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
1.000000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
1.000000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
1.000000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
1.000000,5,15,0,0,0.982739,1.000000,0.000000,0,0,15,0,0
1.000000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
1.000000,5,3,0,1,0.989619,1.000000,0.000000,0,2,0,0,1
1.000000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
