Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.450000,5,192,1,0.787845,0,12,0,180,0
1.450000,5,156,1,0.762195,17,33,89,9,8
1.450000,5,141,1,0.745946,140,0,0,0,1
1.450000,5,105,1,0.769231,12,15,8,50,20
1.450000,5,58,1,0.797909,23,28,5,2,0
1.450000,5,307,1,0.612374,42,7,223,0,35
1.450000,5,50,1,0.753695,0,6,31,9,4
1.450000,5,167,1,0.727569,47,27,93,0,0
1.450000,5,115,1,0.762887,3,28,70,0,14
1.450000,5,67,1,0.676329,25,7,0,0,35
1.450000,5,434,1,0.522552,114,68,192,60,0
1.450000,5,20,1,0.883041,20,0,0,0,0
1.450000,5,111,1,0.702413,42,38,25,6,0
1.450000,5,143,1,0.800836,17,0,10,108,8
1.450000,5,55,1,0.892157,0,55,0,0,0
1.450000,5,285,1,0.710071,1,126,45,83,30
