Utilization,Number_of_tasks,Total missed,Total killed,Task_1 missed,Task_2 missed,Task_3 missed,Task_4 missed,Task_5 missed,Task_1 killed,Task_2 killed,Task_3 killed,Task_4 killed,Task_5 killed
1.410000,5,92,0,0,50,0,0,42,0,0,0,0,0
1.420000,5,90,0,0,48,0,0,42,0,0,0,0,0
1.430000,5,90,0,0,48,0,0,42,0,0,0,0,0
1.440000,5,100,0,0,58,0,0,42,0,0,0,0,0
1.450000,5,100,0,0,58,0,0,42,0,0,0,0,0
1.460000,5,116,0,0,74,0,0,42,0,0,0,0,0
1.470000,5,116,0,0,74,0,0,42,0,0,0,0,0
1.480000,5,116,0,0,74,0,0,42,0,0,0,0,0
1.490000,5,116,0,0,74,0,0,42,0,0,0,0,0
1.500000,5,116,0,0,74,0,0,42,0,0,0,0,0
