Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.100000,5,168,1,0.751111,30,16,61,41,20
1.100000,5,229,1,0.703752,41,40,36,52,60
1.100000,5,290,1,0.683406,98,105,52,35,0
1.100000,5,500,1,0.317872,33,27,300,50,90
1.100000,5,370,1,0.690894,192,66,24,0,88
1.100000,5,114,1,0.552941,8,5,56,21,24
1.100000,5,250,1,0.385749,14,105,17,84,30
1.100000,5,159,1,0.710909,40,76,0,18,25
1.100000,5,346,1,0.507824,105,18,32,75,116
1.100000,5,297,1,0.565154,66,28,28,140,35
1.100000,5,160,1,0.802225,62,0,52,30,16
1.100000,5,310,1,0.558405,119,28,42,105,16
1.100000,5,79,1,0.816705,25,23,31,0,0
1.100000,5,28,1,0.756522,0,0,3,4,21
1.100000,5,159,1,0.727273,80,0,16,27,36
1.100000,5,267,1,0.427039,120,67,10,30,40
1.100000,5,370,1,0.475921,220,66,27,44,13
1.100000,5,266,1,0.624824,140,46,20,60,0
1.100000,5,140,1,0.732314,16,36,88,0,0
