Utilization,Number_of_tasks,Total skipped,Total broken,Weakly hard,QoS,Qos2,QoS3,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,27,0,0,0.980292,1.000000,0.000000,4,0,9,13,1
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
0.950000,5,0,0,1,1.000000,1.000000,0.000000,0,0,0,0,0
