Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.250000,5,161,1,0.751159,0,11,70,40,40
1.250000,5,67,1,0.751852,28,21,12,0,6
1.250000,5,82,1,0.725753,0,58,17,7,0
1.250000,5,199,1,0.653310,53,71,0,75,0
1.250000,5,116,1,0.757829,19,14,30,31,22
1.250000,5,253,1,0.771867,86,18,43,23,83
1.250000,5,193,1,0.721501,18,64,42,49,20
1.250000,5,20,1,0.872611,1,11,0,0,8
1.250000,5,250,0,0.573379,30,17,171,16,16
1.250000,5,116,1,0.685637,15,16,15,37,33
1.250000,5,25,1,0.840764,5,1,7,3,9
1.250000,5,267,1,0.737978,77,21,18,63,88
1.250000,5,41,1,0.788660,3,12,4,17,5
1.250000,5,220,1,0.828393,105,0,9,50,56
1.250000,5,75,1,0.848485,60,15,0,0,0
1.250000,5,119,0,0.736726,17,23,18,20,41
