Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.000000,5,268,1,0.715801,0,0,168,100,0
1.000000,5,319,1,0.549435,55,29,0,180,55
1.000000,5,240,1,0.791304,0,143,0,32,65
1.000000,5,94,1,0.745257,27,8,46,0,13
1.000000,5,326,1,0.623121,42,57,154,17,56
1.000000,5,59,1,0.824926,0,9,50,0,0
1.000000,5,234,1,0.782528,52,0,77,0,105
1.000000,5,264,1,0.679222,0,78,78,0,108
1.000000,5,457,1,0.410323,35,18,108,16,280
1.000000,5,252,1,0.699284,0,77,0,70,105
1.000000,5,243,1,0.651862,54,65,65,33,26
1.000000,5,656,1,0.451046,336,224,19,77,0
1.000000,5,172,1,0.748170,90,30,18,34,0
1.000000,5,47,1,0.817829,22,17,4,4,0
1.000000,5,691,1,0.447200,20,65,59,71,476
1.000000,5,199,1,0.488432,120,9,17,28,25
1.000000,5,102,1,0.689970,0,60,16,9,17
1.000000,5,181,1,0.685764,35,44,25,44,33
1.000000,5,141,1,0.764608,0,69,23,17,32
1.000000,5,100,1,0.563319,15,8,42,13,22
1.000000,5,256,1,0.633763,22,18,91,28,97
1.000000,5,641,1,0.177150,90,90,152,285,24
1.000000,5,360,1,0.640360,172,69,50,23,46
1.000000,5,63,1,0.737500,0,9,13,9,32
1.000000,5,287,1,0.520868,42,46,168,17,14
1.000000,5,61,1,0.598684,3,45,4,9,0
1.000000,5,169,1,0.673745,45,35,33,21,35
1.000000,5,64,1,0.872255,0,0,11,28,25
1.000000,5,210,1,0.829684,70,40,0,58,42
1.000000,5,122,1,0.435185,0,50,56,8,8
1.000000,5,115,1,0.668588,29,19,19,19,29
1.000000,5,66,1,0.574194,10,0,5,44,7
1.000000,5,177,1,0.799092,35,0,100,17,25
1.000000,5,262,1,0.687351,45,76,85,56,0
1.000000,5,385,1,0.605937,55,0,35,55,240
1.000000,5,394,1,0.414562,12,33,96,33,220
1.000000,5,647,1,0.428445,44,75,0,33,495
1.000000,5,576,1,0.371865,180,17,49,220,110
1.000000,5,677,1,0.465667,0,38,45,459,135
1.000000,5,118,1,0.607973,0,108,10,0,0
1.000000,5,134,1,0.774790,22,39,57,0,16
1.000000,5,160,1,0.534884,23,22,23,46,46
