Utilization,Number_of_tasks,Total skipped,Total broken,Weakly hard,QoS,Qos2,QoS3,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.500000,5,206,135,0,0.842868,0.897025,0.102975,76,36,4,87,3
1.500000,5,152,57,0,0.734266,0.900350,0.099650,41,48,3,48,12
1.500000,5,128,7,0,0.839398,0.991217,0.008783,14,80,22,1,11
1.500000,5,138,82,0,0.804809,0.884017,0.115983,65,16,15,1,41
1.500000,5,65,37,0,0.805970,0.889552,0.110448,0,9,3,22,31
1.500000,5,33,23,0,0.879562,0.916058,0.083942,1,5,22,2,3
1.500000,5,163,4,0,0.828240,0.995785,0.004215,60,4,3,7,89
1.500000,5,70,22,0,0.747292,0.920578,0.079422,1,33,6,5,25
1.500000,5,211,59,0,0.715250,0.920378,0.079622,86,20,55,0,50
1.500000,5,21,20,0,0.882022,0.887640,0.112360,0,0,0,0,21
1.500000,5,66,37,0,0.846512,0.913953,0.086047,1,8,9,38,10
1.500000,5,206,92,0,0.834272,0.925986,0.074014,0,102,70,21,13
1.500000,5,81,46,0,0.730897,0.847176,0.152824,45,12,8,6,10
1.500000,5,112,44,0,0.818476,0.928687,0.071313,64,28,0,4,16
1.500000,5,40,4,0,0.771429,0.977143,0.022857,5,5,12,7,11
1.500000,5,155,75,0,0.754358,0.881141,0.118859,42,18,58,1,36
1.500000,5,186,52,0,0.750336,0.930201,0.069799,74,2,10,0,100
1.500000,5,186,95,0,0.760925,0.877892,0.122108,73,25,14,45,29
1.500000,5,36,20,0,0.837104,0.909502,0.090498,4,21,2,2,7
1.500000,5,327,31,0,0.715899,0.973067,0.026933,25,71,231,0,0
1.500000,5,78,31,0,0.720430,0.888889,0.111111,36,15,0,11,16
