Utilization,Number_of_tasks,Total missed,Total killed,Weakly hard,Task_1 missed,Task_2 missed,Task_3 missed,Task_4 missed,Task_5 missed,Task_1 killed,Task_2 killed,Task_3 killed,Task_4 killed,Task_5 killed
0.900000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.910000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.920000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.930000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.940000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.950000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.960000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.970000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.980000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.990000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
1.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
1.010000,5,15,12,0,0,0,0,0,15,0,0,0,0,12
1.020000,5,15,12,0,0,0,0,0,15,0,0,0,0,12
1.030000,5,15,12,0,0,0,0,0,15,0,0,0,0,12
1.040000,5,15,12,0,0,0,0,0,15,0,0,0,0,12
1.050000,5,22,16,0,0,0,0,0,22,0,0,0,0,16
1.060000,5,22,16,0,0,0,0,0,22,0,0,0,0,16
1.070000,5,39,27,0,0,0,0,0,39,0,0,0,0,27
1.080000,5,39,27,0,0,0,0,0,39,0,0,0,0,27
1.090000,5,42,30,0,0,0,0,0,42,0,0,0,0,30
1.100000,5,42,30,0,0,0,0,0,42,0,0,0,0,30
1.110000,5,40,32,0,0,0,0,0,40,0,0,0,0,32
1.120000,5,42,36,0,0,0,0,0,42,0,0,0,0,36
1.130000,5,42,36,0,0,0,0,0,42,0,0,0,0,36
1.140000,5,42,36,0,0,0,0,0,42,0,0,0,0,36
1.150000,5,42,38,0,0,0,0,0,42,0,0,0,0,38
1.160000,5,42,38,0,0,0,0,0,42,0,0,0,0,38
1.170000,5,42,42,0,0,0,0,0,42,0,0,0,0,42
1.180000,5,42,42,0,0,0,0,0,42,0,0,0,0,42
1.190000,5,42,42,0,0,0,0,0,42,0,0,0,0,42
1.200000,5,42,42,0,0,0,0,0,42,0,0,0,0,42
