Utilization,Number_of_tasks,Total missed,Total killed,Weakly hard,Task_1 missed,Task_2 missed,Task_3 missed,Task_4 missed,Task_5 missed,Task_1 killed,Task_2 killed,Task_3 killed,Task_4 killed,Task_5 killed
0.900000,5,4,4,0,1,0,0,1,2,1,0,0,1,2
0.910000,5,1,1,0,0,1,0,0,0,0,1,0,0,0
0.920000,5,3,3,0,2,1,0,0,0,2,1,0,0,0
0.930000,5,4,3,0,1,0,1,0,2,1,0,1,0,1
0.940000,5,4,4,0,1,1,1,0,1,1,1,1,0,1
0.950000,5,5,5,0,1,0,2,1,1,1,0,2,1,1
0.960000,5,8,8,0,2,0,0,2,4,2,0,0,2,4
0.970000,5,5,5,0,1,1,1,0,2,1,1,1,0,2
0.980000,5,2,2,0,1,0,0,0,1,1,0,0,0,1
0.990000,5,3,3,0,1,0,0,0,2,1,0,0,0,2
1.010000,5,14,12,0,2,1,0,0,11,2,1,0,0,9
1.020000,5,15,12,0,2,1,0,1,11,2,1,0,1,8
1.030000,5,13,9,0,0,0,0,1,12,0,0,0,1,8
1.040000,5,19,14,0,0,1,1,2,15,0,1,1,2,10
1.050000,5,28,23,0,3,1,1,0,23,3,1,1,0,18
1.060000,5,24,19,0,0,2,1,2,19,0,2,1,2,14
1.070000,5,28,24,0,0,0,0,0,28,0,0,0,0,24
1.080000,5,35,32,0,2,1,0,1,31,2,1,0,1,28
1.090000,5,32,28,0,0,0,0,0,32,0,0,0,0,28
1.100000,5,38,35,0,1,1,2,0,34,1,1,2,0,31
