Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.200000,5,157,1,0.756589,7,85,45,20,0
1.200000,5,281,1,0.760034,74,0,117,0,90
1.200000,5,103,1,0.825127,20,9,36,8,30
1.200000,5,142,1,0.820933,30,39,35,0,38
1.200000,5,23,1,0.803419,0,1,0,21,1
1.200000,5,217,1,0.796053,17,31,39,65,65
1.200000,5,178,1,0.816305,113,61,4,0,0
1.200000,5,163,1,0.734528,52,5,76,13,17
1.200000,5,149,1,0.841321,29,53,39,9,19
1.200000,5,86,1,0.787129,21,6,24,11,24
1.200000,5,35,1,0.813830,9,10,2,0,14
1.200000,5,35,1,0.802260,6,3,16,5,5
