Utilization,Number_of_tasks,Total missed,Total killed,Weakly hard,Task_1 missed,Task_2 missed,Task_3 missed,Task_4 missed,Task_5 missed,Task_1 killed,Task_2 killed,Task_3 killed,Task_4 killed,Task_5 killed
0.910000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.920000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.930000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.940000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.950000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.960000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.970000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.980000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
0.990000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
1.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0
1.010000,5,12,6,0,0,0,0,0,12,0,0,0,0,6
1.020000,5,12,6,0,0,0,0,0,12,0,0,0,0,6
1.030000,5,14,8,0,0,0,0,0,14,0,0,0,0,8
1.040000,5,15,8,0,0,0,0,0,15,0,0,0,0,8
1.050000,5,18,8,0,0,0,0,0,18,0,0,0,0,8
1.060000,5,20,11,0,0,0,0,0,20,0,0,0,0,11
1.070000,5,27,22,0,0,0,0,0,27,0,0,0,0,22
1.080000,5,29,20,0,0,0,0,0,29,0,0,0,0,20
1.090000,5,32,21,0,0,0,0,0,32,0,0,0,0,21
1.100000,5,31,22,0,0,0,0,0,31,0,0,0,0,22
