Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.250000,5,129,1,0.632479,10,103,7,9,0
1.250000,5,198,1,0.694915,74,9,70,30,15
1.250000,5,249,1,0.765977,30,25,124,70,0
1.250000,5,112,1,0.848033,33,58,1,13,7
1.250000,5,64,1,0.908441,1,5,2,6,50
1.250000,5,214,1,0.822994,75,41,65,0,33
1.250000,5,126,1,0.782007,4,78,18,18,8
1.250000,5,70,1,0.900000,52,0,0,0,18
1.250000,5,201,1,0.686427,0,22,64,70,45
1.250000,5,141,1,0.824190,36,18,12,30,45
1.250000,5,67,1,0.800000,0,1,0,59,7
1.250000,5,196,1,0.815269,21,17,87,34,37
1.250000,5,195,1,0.740346,19,37,79,40,20
1.250000,5,158,1,0.702448,20,9,113,0,16
1.250000,5,257,1,0.735868,16,0,17,30,194
1.250000,5,83,1,0.809633,0,48,27,1,7
1.250000,5,108,1,0.740385,14,14,14,0,66
