Utilization,Number_of_tasks,Total missed,Total killed,Task_1 missed,Task_2 missed,Task_3 missed,Task_4 missed,Task_5 missed,Task_1 killed,Task_2 killed,Task_3 killed,Task_4 killed,Task_5 killed
0.800000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.850000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.900000,5,0,0,0,0,0,0,0,0,0,0,0,0
0.950000,5,0,0,0,0,0,0,0,0,0,0,0,0
1.000000,5,0,0,0,0,0,0,0,0,0,0,0,0
1.050000,5,21,0,0,0,0,0,21,0,0,0,0,0
1.100000,5,35,0,0,0,0,0,35,0,0,0,0,0
1.150000,5,42,0,0,0,0,0,42,0,0,0,0,0
1.200000,5,42,0,0,0,0,0,42,0,0,0,0,0
1.250000,5,47,0,0,5,0,0,42,0,0,0,0,0
1.300000,5,51,0,0,9,0,0,42,0,0,0,0,0
1.350000,5,72,0,0,30,0,0,42,0,0,0,0,0
1.400000,5,72,0,0,30,0,0,42,0,0,0,0,0
1.450000,5,81,0,0,39,0,0,42,0,0,0,0,0
1.500000,5,104,0,0,62,0,0,42,0,0,0,0,0
