Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
1.000000,5,2,1,0.985714,2,0,0,0,0
1.000000,5,5,1,0.987952,1,0,0,0,4
1.000000,5,15,1,0.934783,3,8,0,2,2
1.000000,5,3,1,0.997840,0,1,2,0,0
1.000000,5,3,1,0.992556,1,0,0,2,0
1.000000,5,16,1,0.981439,0,2,9,0,5
1.000000,5,50,1,0.867725,0,19,0,9,22
1.000000,5,1,1,0.998473,0,0,1,0,0
1.000000,5,7,1,0.969828,1,5,1,0,0
1.000000,5,116,1,0.904053,7,20,9,10,70
1.000000,5,18,1,0.984576,18,0,0,0,0
1.000000,5,71,1,0.841871,0,9,0,5,57
1.000000,5,60,1,0.873684,4,0,46,10,0
1.000000,5,1,1,0.998849,0,0,0,1,0
1.000000,5,83,1,0.710801,6,0,36,20,21
1.000000,5,5,1,0.992526,0,5,0,0,0
1.000000,5,2,1,0.983607,1,1,0,0,0
1.000000,5,7,1,0.975000,2,0,0,1,4
1.000000,5,9,1,0.991296,9,0,0,0,0
1.000000,5,127,1,0.658602,0,11,89,27,0
1.000000,5,1,1,0.998480,0,0,0,0,1
