Utilization,Number_of_tasks,Total skipped,Weakly hard,QoS,Task_1 skipped,Task_2 skipped,Task_3 skipped,Task_4 skipped,Task_5 skipped
0.950000,5,68,1,0.941075,0,1,54,13,0
0.950000,5,2,1,0.991632,0,0,0,2,0
0.950000,5,3,1,0.995575,0,0,1,1,1
0.950000,5,0,1,1.000000,0,0,0,0,0
0.950000,5,0,1,1.000000,0,0,0,0,0
0.950000,5,3,1,0.993964,3,0,0,0,0
0.950000,5,8,1,0.984991,1,0,0,0,7
0.950000,5,1,1,0.998636,0,1,0,0,0
0.950000,5,3,1,0.995420,0,0,1,2,0
0.950000,5,16,1,0.955679,0,4,8,1,3
0.950000,5,2,1,0.996689,0,0,0,1,1
0.950000,5,3,1,0.996416,0,0,2,1,0
0.950000,5,14,1,0.967290,2,5,0,1,6
0.950000,5,11,1,0.984441,7,0,1,3,0
0.950000,5,1,1,0.998371,0,0,0,0,1
0.950000,5,4,1,0.992895,0,1,2,0,1
0.950000,5,7,1,0.991083,0,1,2,4,0
0.950000,5,1,1,0.997951,0,1,0,0,0
0.950000,5,34,1,0.945338,29,0,0,0,5
0.950000,5,0,1,1.000000,0,0,0,0,0
0.950000,5,4,1,0.996400,1,0,3,0,0
